recordType,matchNo,fixture,ticketHolders,uberCount,uberEgressMin,hostShuttles,shuttleEgressMin,njtIngress,njtEgress,njtEgressMin,americanDreamBus,americanDreamParking,americanDreamPedestrians,unallocated,mathematicalDropoff,likelyHospitality,likelyDropoff,uberVsPlan,pedestriansVsPlan,railEgressPeoplePerHour,evidenceClass,sourceId,sourceUrl
official_plan,Plan,Approved mobility plan,80870,6000,180,10000,180,40000,40000,120,1500,11750,26500,-10380,,,,1,1,20000,official_plan,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,7,Brazil vs Morocco,80000,6006,240,16013,150,21271,21695,60,1200,10035,53000,3475,15265,10210,,1.001,2,21695,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,17,France vs Senegal,78401,8300,240,12000,150,25797,26221,70,450,10085,42000,-231,10465,11304,,1.3833333333333333,1.5849056603773586,22475.142857142855,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,41,Norway vs Senegal,72777,10800,180,12000,120,25568,25946,60,,9125,42000,-6716,11875,3409,,1.8,1.5849056603773586,25946,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,56,Ecuador vs Germany,80663,12950,180,12000,150,20593,20857,60,2000,8615,56000,2505,17385,7120,9374,2.158333333333333,2.1132075471698113,20857,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,67,Panama vs England,80663,8500,150,17166,120,25702,26009,60,600,9000,50000,-2305,15400,4295,8628,1.4166666666666667,1.8867924528301887,26009,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,77,France vs Sweden,73115,8500,150,17877,135,22631,22816,60,300,10480,45000,-8673,11720,1607,8351,1.4166666666666667,1.6981132075471699,22816,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,91,Brazil vs Norway,74273,11100,150,18000,150,21856,22258,60,300,7195,46000,-6178,15505,317,6893,1.85,1.7358490566037736,22258,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
match,104,Spain vs Argentina,80663,16200,180,11168,120,20114,21024,60,1000,9310,65000,871,22190,681,2817,2.7,2.452830188679245,21024,observed_final,njt-aar-2026,https://www.njtransit.com/press-releases/new-jersey-interagency-transportation-after-action-report-aar-njny-stadium-fifa
